mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002608489990234375,0.0009501670647199372,0.08628120422363281,0.011301763896292708,auto,20,13,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",0.7842069434989789,0.7882913546630361,0.7731607629427792,0.7663487738419619,0.779291553133515,0.7782598776160542,0.007809453787579571,325
0.003828573226928711,0.0015193717863585786,0.0569725513458252,0.005271304236339273,auto,20,13,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",0.7882913546630361,0.7937372362151123,0.7752043596730245,0.7717983651226158,0.782016348773842,0.782209532889526,0.00809170793113503,85
0.0036690235137939453,0.0011736040189872603,0.07401418685913086,0.01465895203153545,auto,20,13,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",0.7848876786929885,0.7903335602450646,0.771117166212534,0.7683923705722071,0.779291553133515,0.7788044657712618,0.008217895763213285,313
0.0034616947174072265,0.0008899448178348016,0.04279518127441406,0.00824747579688484,auto,20,13,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",0.7903335602450646,0.7896528250510552,0.7724795640326976,0.7677111716621253,0.7806539509536785,0.7801662143889242,0.009031293081227024,193
0.004459667205810547,0.0008601762679702653,0.0984990119934082,0.01295476736539452,auto,20,15,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",0.7876106194690266,0.786929884275017,0.773841961852861,0.7677111716621253,0.779291553133515,0.7790770380785089,0.007630519824059752,277
0.0036562442779541015,0.0015585958363082218,0.045389652252197266,0.0053825794191498435,auto,20,15,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",0.7882913546630361,0.7950987066031314,0.7772479564032697,0.7677111716621253,0.7833787465940054,0.7823455871851136,0.00937244452043765,61
0.003166818618774414,0.000943974068962464,0.06721725463867187,0.01330726240961728,auto,20,15,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.7848876786929885,0.7882913546630361,0.7704359673024523,0.7677111716621253,0.773841961852861,0.7770336268346927,0.008112294047357976,409
0.0027532100677490233,0.000893510127133105,0.038131189346313474,0.008359085021071843,auto,20,15,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",0.7882913546630361,0.7903335602450646,0.7786103542234333,0.7656675749318801,0.7758855585831063,0.779757680529304,0.008938832001418212,217
0.0027912139892578127,0.0008724091950804734,0.07641634941101075,0.00736405587561491,auto,20,17,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}",0.7835262083049693,0.7923757658270932,0.7806539509536785,0.7670299727520435,0.7861035422343324,0.7819378880144234,0.00839903758181476,97
0.0032331466674804686,0.0009983099162808242,0.06536526679992676,0.015354709283136167,auto,20,17,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",0.786929884275017,0.8005445881552076,0.7833787465940054,0.7683923705722071,0.7861035422343324,0.785069826366154,0.010246891420359864,1
0.003299570083618164,0.0011366731178399894,0.060707807540893555,0.007227268740886532,auto,20,17,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}",0.7835262083049693,0.7862491490810075,0.773841961852861,0.7649863760217984,0.7683923705722071,0.7753992131665687,0.008291166522591722,589
0.00463709831237793,0.0004734926136847323,0.053220272064208984,0.014939791526670038,auto,20,17,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 17, 'p': 2, 'weights': 'distance'}",0.7855684138869979,0.7876106194690266,0.7724795640326976,0.7677111716621253,0.771117166212534,0.7768973870526763,0.008090422999652474,457
