mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2918609619140624,0.05676612924343547,0.01974625587463379,0.0028144467945807076,True,gini,,sqrt,1,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8359428182437032,0.8468345813478557,0.8365122615803815,0.832425068119891,0.8331062670299727,0.8369641992643608,0.005179947142694871,25
2.490691804885864,0.027772207491860986,0.029383134841918946,0.002272809515150147,True,gini,,sqrt,1,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8420694349897889,0.8427501701837985,0.832425068119891,0.832425068119891,0.829700272479564,0.8358740027785867,0.005432684508290065,133
6.495823192596435,0.5220212370162579,0.07849359512329102,0.009447988766175117,True,gini,,sqrt,1,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8420694349897889,0.8461538461538461,0.8365122615803815,0.8290190735694822,0.8310626702997275,0.8369634573186453,0.006460191221801788,27
1.4506511688232422,0.2150556820119115,0.02047762870788574,0.0028886556923490283,True,gini,,sqrt,2,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8400272294077604,0.8447923757658271,0.8351498637602179,0.8276566757493188,0.8208446866485014,0.8336941662663252,0.008566882936445168,477
2.467285394668579,0.09568475674157186,0.031994199752807616,0.004629814620596616,True,gini,,sqrt,2,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8407079646017699,0.8420694349897889,0.832425068119891,0.8269754768392371,0.8262942779291553,0.8336944444959684,0.006646024947575629,473
6.36875467300415,0.3777671035620772,0.08223872184753418,0.00633894497902595,True,gini,,sqrt,2,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.8441116405718175,0.8495575221238938,0.8331062670299727,0.8262942779291553,0.832425068119891,0.837098955154946,0.008472561314136795,23
1.1968682289123536,0.02471493338699187,0.0175809383392334,0.0023356189391970706,True,gini,,sqrt,2,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8359428182437032,0.8488767869298843,0.8331062670299727,0.8283378746594006,0.8344686648501363,0.8361464823426192,0.006857615745803842,101
2.676818370819092,0.30820374388660104,0.03591737747192383,0.005672884605672919,True,gini,,sqrt,2,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8352620830496936,0.8481960517358748,0.8310626702997275,0.8276566757493188,0.8317438692098093,0.8347842700088848,0.007127427807247243,319
6.436846303939819,0.3951452560057363,0.08552932739257812,0.012668396927845214,True,gini,,sqrt,2,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.8400272294077604,0.8447923757658271,0.8317438692098093,0.8303814713896458,0.8283378746594006,0.8350565640864887,0.00628434196204111,263
1.1939686298370362,0.007308082585457312,0.017415380477905272,0.0014919275610807453,True,gini,,sqrt,2,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8373042886317222,0.8468345813478557,0.8331062670299727,0.8331062670299727,0.8283378746594006,0.8357378557397848,0.0062321949502727545,147
