toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id,Prediction,source_id,teff_gspspec,flags_gspspec,lum_flame,mass_flame,r_med_geo,r_lo_geo,r_hi_geo,flags_flame,teff_gspphot,ruwe,teff,hz_inner,hz_outer,a_orbit,isInHabitableZone
281.01,TIC 38696105,5.5765364,2.3140477,642.4206976,4.5613031,1293.3084871,661.1949258,6002.18,4.12354,1.52031,66.136252,-60.129932,PC,0.2114205360412597,Gaia DR3 4678368722889015808,1,Gaia DR3 4678368722889015808,6151.0,00000000000009999999900999901999999999999,2.7054074,1.1933371,284.39383,283.30453,285.63483,00,6137.15,1.0745857,6151.0,1.6095165994249807,2.7197870318573485,0.06527784878150161,out
2810.01,TIC 80682484,8.4035706,3.906,490.0,2.0563,1070.0,218.228,5910.0,4.42,1.05,165.955117,-50.887152,PC,0.0,Gaia DR3 5361549791779367424,1,Gaia DR3 5361549791779367424,5958.0,00000000000009922001000999900029999999999,1.1826988,0.99906224,98.751305,98.63749,98.85805,00,5818.0913,1.0263802,5958.0,1.0723018111955436,1.8269857927476045,0.0808677161150549,out
2817.01,TIC 285526706,6.2804387,3.263,10240.0,9.96788,1071.0,218.419,5900.0,4.48,0.98,120.031887,-42.172067,PC,0.5899999737739563,Gaia DR3 5533960327479902976,1,Gaia DR3 5533960327479902976,5489.0,00000010000009999999999999999999999999999,0.80802727,0.8888141,333.63583,332.4816,334.6316,00,5426.7017,0.9550867,5489.0,0.9032266018185953,1.5722920880132485,0.06405190615890538,out
2822.01,TIC 130349701,2.8798613,4.111,4820.0,11.5292,1869.0,2026.22,6086.0,4.04,1.69,120.003728,-28.633446,PC,0.3395152688026428,Gaia DR3 5597777288033556480,1,Gaia DR3 5597777288033556480,,,2.92357,1.1147008,866.9058,857.7991,873.6255,00,5799.296,0.987872,5799.2958984375,1.6966801998325305,2.9112953287083334,0.04107418096468128,out
2825.01,TIC 268496304,5.9492615,4.304,7490.0,11.6197,1284.0,452.584,6041.0,4.22,1.36,117.015231,-48.182978,PC,0.089208961464957,Gaia DR3 5518365507383628288,1,Gaia DR3 5518365507383628288,,,1.7169942,0.94955564,720.86755,715.24963,726.16455,00,5698.9927,1.0687927,5698.99267578125,1.3055267356711142,2.250403575582094,0.06315638621501607,out
2827.01,TIC 440775339,5.3393042,2.965,2610.0,7.70059,1139.0,280.204,5857.2,3.94,1.49,108.721945,11.989395,PC,0.25,Gaia DR3 3160062805540444928,1,Gaia DR3 3160062805540444928,5974.0,00000010000009999999999999999999999999999,3.092171,1.2134951,425.04916,412.13916,440.17368,00,6040.7715,3.466017,5974.0,1.7327467453208067,2.950188760704247,0.06376820867999852,out
2834.01,TIC 156172268,4.6391531,3.239,14100.0,13.8244,1254.0,411.734,5928.2,4.56,1.15,124.385982,-28.046133,PC,0.1362666075011472,Gaia DR3 5692830583647395712,1,Gaia DR3 5692830583647395712,6021.0,00000111000009999999999999999999999999999,1.4823096,1.0487534,307.02725,305.38263,308.18207,00,5946.876,1.1624776,5946.8759765625,1.2009971579341325,2.04725402486273,0.05530766906812846,out
2836.01,TIC 144628120,3.2379325,3.112,8340.0,11.1634,1627.0,1164.58,6434.3,4.46,1.19,121.482329,-30.93849,PC,0.0537324810066197,Gaia DR3 5595993948897473280,1,Gaia DR3 5595993948897473280,6592.0,00000120000009999999999999999999999999999,2.1951404,1.2175382,384.19885,381.7363,386.4435,00,6354.261,1.1263092,6592.0,1.4263832122082922,2.3696853317815156,0.0457377178710086,out
2847.01,TIC 175604949,2.648845,2.131,16770.0,11.66,1194.0,338.268,5329.0,4.52,0.87,116.689433,-39.131536,PC,0.2129999995231628,Gaia DR3 5538415342439466752,1,Gaia DR3 5538415342439466752,5235.0,00000010000009999999999999999999999999999,0.42368338,0.8022004,258.93506,258.2696,259.7789,00,4943.704,0.8321735,5235.0,0.660700667436818,1.1641813469683966,0.03481238239013385,out
2849.01,TIC 61687533,2.9510628,3.404,9480.0,13.623,1699.0,1384.06,6370.0,4.26,1.39,109.412182,-6.372974,PC,0.181114720307286,Gaia DR3 3058045237636919424,1,Gaia DR3 3058045237636919424,,,2.5306716,1.1861833,951.4718,936.1439,965.3218,00,6201.673,0.99132067,6201.6728515625,1.5536246176361739,2.619855980066438,0.04262240987330903,out
2861.01,TIC 157572174,6.6269971,3.9371246,5104.9588771,11.1341925,1201.5124066,492.5315328,5940.0,4.13,1.48946,106.939794,-38.43372,PC,0.2758393805191506,Gaia DR3 5565890420024523776,1,Gaia DR3 5565890420024523776,,,2.157488,1.0129668,808.2227,801.1737,814.48364,00,5732.9863,0.96838,5732.986328125,1.4614339141431925,2.515220551016612,0.06934439202919722,out
2866.01,TIC 409896170,1.5728416,1.947,21020.0,12.7462,1426.0,687.916,5288.0,4.52,0.87,126.898381,-14.125433,PC,0.2768315913600049,Gaia DR3 5723547738764816896,1,Gaia DR3 5723547738764816896,,,0.5098324,0.85457164,445.2694,442.33865,448.39966,00,5267.888,1.0420189,5267.88818359375,0.7238254251174562,1.2733889885545826,0.025117393981169214,out
2868.01,TIC 147857396,9.3803217,4.508,8600.0,12.1477,1103.0,246.563,5817.0,4.25,1.27,98.965621,-41.56033,PC,0.3937116250751275,Gaia DR3 5569668719931962496,1,Gaia DR3 5569668719931962496,,,1.4531277,0.93236333,670.4018,666.112,675.9571,00,5620.975,0.9484248,5620.97509765625,1.204821496809501,2.0843304755877723,0.08503713979743208,out
2876.01,TIC 10827386,6.2996307,1.918,9530.0,9.36407,709.0,42.1658,5137.0,4.45,0.92,110.247353,-21.114638,PC,0.4399999976158142,Gaia DR3 2929750922377138816,1,Gaia DR3 2929750922377138816,5329.0,00000000000009999999900999999999999999999,0.51166224,0.82191074,221.27792,220.84756,221.77492,00,5175.136,1.021229,5329.0,0.7233669120451062,1.2688477584931603,0.06252975201396249,out
2881.01,TIC 320541238,2.9301843,4.218,6280.0,13.1989,1814.0,1800.37,6032.0,4.05,1.65,109.29759,1.114636,PC,0.1070341803397136,Gaia DR3 3111748958948032768,1,Gaia DR3 3111748958948032768,,,3.2433207,1.1444889,1032.1332,1016.56036,1055.3811,00,5937.491,0.97537684,5937.4912109375,1.7771745533252865,3.0306710370175565,0.041918163867184687,out
