toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
4820.01,TIC 394223845,27.1358856,4.11505,6405.8040691,10.9270095,738.2202692,70.1883225,6315.0,4.28,1.33332,128.611432,-30.585959,PC,-0.019999999552965164,Gaia DR3 5643715601089658752
4821.01,TIC 354937825,5.469359,2.119,5940.0,12.6725,1137.0,278.238,7182.0,4.23,1.61,122.427886,-42.156819,PC,0.3771346004356053,Gaia DR3 5533356352005754880
4822.01,TIC 52936161,4.4712213,3.771,5140.0,15.8899,2415.0,5650.08,7586.0,4.22,1.71,125.826083,-43.693856,PC,0.418486972452907,Gaia DR3 5526234918265566976
4823.01,TIC 348756659,3.7260939,3.1192423,18231.0352508,13.5887921,1160.4576185,428.5861553,5736.0,4.45,0.9975,134.192296,-12.572658,PC,-0.49255182680026016,Gaia DR3 5736511290093085056
4824.01,TIC 179687771,5.124162,4.651,6630.0,13.6708,1367.0,581.326,5750.0,4.01,1.65,147.253606,-3.609379,PC,0.3000467723183251,Gaia DR3 3826004150572389632
4826.01,TIC 17683158,5.9730504,4.041,8220.0,13.7408,1262.0,421.342,6137.0,4.2,1.41,135.722015,-33.294867,PC,0.1563602975198114,Gaia DR3 5628098898139529600
4828.01,TIC 291469139,19.0286016,3.938,8910.0,8.13514,536.0,13.7261,4733.0,4.5,0.81,111.14992,-48.619915,PC,0.27070410336602957,Gaia DR3 5506936255809719040
4829.01,TIC 268439377,0.9855374,1.18,3290.0,10.8393,1732.0,1493.99,6198.4,4.02,1.76,116.835959,-49.122453,FP,-0.09856332093477249,Gaia DR3 5518067054395835648
483.01,TIC 393414358,4.3780807,5.3900978,7074.3931388,15.1767346,1469.9084134,1103.2707506,5570.0,4.01069,1.79224,94.336356,-38.323383,KP,0.2800000011920929,Gaia DR3 5574766468155514752
4831.01,TIC 17896514,2.6375869,4.029,3610.0,16.5853,1947.0,2389.95,6196.0,3.59,2.9,136.219646,-31.930076,PC,-0.29443150758743286,Gaia DR3 5628320789028695680
4832.01,TIC 186470968,2.7805098,1.547,15800.0,8.80341,735.0,48.6261,3949.0,4.59,0.68,132.682582,-34.782931,PC,-0.18751759242378563,Gaia DR3 5626749247618790656
