,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smet,ExoplanetCandidate
2851,15.6112238,3.873,113.5,0.91,637.0,38.99,5383.0,4.528,0.842,0.0,1
2852,42.5217006,5.723,685.6,2.45,510.0,15.97,5911.0,4.519,0.914,-0.1,1
2853,0.566805887,5.2317,1.7,0.08,1554.0,1368.32,5000.0,4.708,0.549,-1.58,0
2854,6.69958851,2.831,253.7,1.24,806.0,99.83,5296.0,4.586,0.799,0.07,1
2855,14.170972781,3.7316,13496.0,20.88,1288.0,650.07,8347.0,4.231,1.715,0.07,0
2856,1.332562831,6.24,297.9,24.29,1532.0,1301.29,5718.0,4.549,0.863,-0.08,0
2857,2.39161966,1.906,189.2,0.93,1031.0,266.01,4935.0,4.589,0.685,-0.42,1
2858,5.68879083,2.55,241.5,0.99,645.0,40.88,4234.0,4.63,0.639,-0.02,1
2859,2.31941571,1.591,96.4,1.24,1490.0,1164.84,5624.0,4.256,1.248,0.3,1
2860,19.7830259,5.4898,373.2,2.1,708.0,59.39,5747.0,4.335,1.099,0.0,1
2861,10.431146765,3.8853,29376.0,50.44,833.0,114.02,5780.0,4.438,1.0,0.0,0
2862,7.0106324,3.0688,327.3,1.5,738.0,70.32,4908.0,4.567,0.782,0.22,1
2863,3.10762684,2.361,77.2,0.73,968.0,207.72,4908.0,4.567,0.782,0.22,1
2864,1.980356674,2.4743,271.9,2.1,1662.0,1808.41,6078.0,4.29,1.189,-0.16,1
2865,12.8344771,3.846,281.0,2.55,891.0,149.42,6078.0,4.29,1.189,-0.16,1
2866,175.329014,6.269,1059.1,27.03,327.0,2.69,6008.0,4.499,0.93,-0.2,0
2867,21.61313362,1.52,818.1,1.94,503.0,15.14,5267.0,4.681,0.632,-0.76,1
2868,2.7881793,3.397,55.8,1.02,1510.0,1228.07,5758.0,4.168,1.385,0.12,1
2869,4.13827684,3.449,63.8,1.13,1324.0,725.53,5758.0,4.168,1.385,0.12,1
2870,2.61846258,3.505,275.3,1.03,843.0,119.68,4266.0,4.626,0.643,-0.04,0
2871,29.72722,3.45,1010.2,3.02,557.0,22.7,5815.0,4.54,0.877,-0.12,1
2872,18.01019956,3.516,177.7,1.93,758.0,77.99,5931.0,4.322,1.101,-0.24,1
2873,10.61368712,3.498,559.8,2.06,785.0,89.65,5815.0,4.54,0.877,-0.12,1
2874,7.53887442,3.147,342.1,1.33,751.0,75.14,5318.0,4.601,0.667,-0.88,0
2875,0.53633519,1.0547,444.1,1.81,1974.0,3603.58,5508.0,4.569,0.84,0.07,0
2876,27.9430245,6.125,308.6,2.21,718.0,62.74,6468.0,4.363,1.25,0.21,1
2877,8.07394097,2.455,1056.0,1.59,420.0,7.33,3675.0,4.869,0.398,-0.32,1
2878,4.53702121,1.813,504.4,1.66,798.0,95.61,4805.0,4.633,0.688,-0.06,1
2879,0.977311489,1.403,250.7,1.06,1331.0,737.36,4805.0,4.633,0.688,-0.06,1
2880,39.859505,7.987,155.5,1.62,597.0,29.97,5675.0,4.209,1.292,0.12,1
2881,23.6731242,14.3948,23113.0,17.74,676.0,49.42,5769.0,4.338,1.177,0.38,0
2882,7.170710381,2.9225,863.3,2.73,890.0,148.09,5497.0,4.437,0.941,0.02,1
2883,4.699652821,2.553,351.4,1.74,1024.0,260.54,5497.0,4.437,0.941,0.02,1
2884,4.761705895,3.3061,497.1,2.75,1201.0,491.37,5794.0,4.263,1.225,0.07,1
2885,2.024143568,2.5273,239.4,1.94,1597.0,1535.09,5794.0,4.263,1.225,0.07,1
2886,1.371288853,1.4528,66.2,1.15,1837.0,2695.6,6220.0,4.378,1.108,-0.08,0
2887,11.87290814,2.5342,332.7,2.25,863.0,131.55,6147.0,4.412,1.04,-0.18,1
2888,1.638652525,1.952,166.9,1.29,1610.0,1585.07,6119.0,4.472,0.981,-0.16,1
2889,9.06687613,3.381,367.2,1.9,725.0,65.52,5142.0,4.515,0.789,-0.18,1
2890,4.0223109,0.853,227.8,1.37,1017.0,253.28,5516.0,4.544,0.827,-0.14,1
2891,6.9131732,4.73,39.1,0.91,1209.0,505.0,6296.0,4.21,1.444,0.07,1
2892,7.32851947,1.211,277.8,2.33,807.0,100.13,5135.0,4.464,0.874,0.12,1
2893,18.6052046,6.829,242.5,1.94,833.0,113.88,6572.0,4.365,1.238,0.07,1
2894,1.332562787,6.28,1111.9,29.1,1703.0,1983.27,6091.0,4.487,0.967,-0.14,0
2895,0.896382269,1.113,136.4,1.0,1810.0,2524.81,5837.0,4.502,0.843,-0.52,1
2896,39.4420781,7.029,172.4,2.51,682.0,51.14,5430.0,3.923,1.902,0.16,1
2897,10.27532513,6.3093,209.7,3.04,1211.0,508.21,6150.0,3.96,2.086,0.22,1
2898,11.50528603,2.098,260.2,1.83,912.0,163.79,6355.0,4.41,1.108,-0.08,0
2899,26.62941953,7.8709,492.8,3.13,742.0,71.75,5866.0,4.117,1.417,-0.2,1
2900,296.6375817,16.425,2763.1,7.56,332.0,2.88,5866.0,4.117,1.417,-0.2,1
2901,41.8085031,7.797,190.4,1.67,582.0,27.15,5794.0,4.263,1.225,0.07,1
2902,2.98786272,2.5814,42789.0,17.82,1064.0,303.15,5231.0,4.544,0.821,0.07,0
2903,39.30944096,5.77,1132.1,2.87,488.0,13.46,5607.0,4.536,0.863,-0.04,1
2904,29.88487723,4.5612,1275.7,2.81,453.0,9.95,4883.0,4.549,0.749,-0.08,1
2905,12.92489803,2.6811,959.0,2.62,620.0,34.95,5103.0,4.584,0.768,0.0,1
2906,11.45541896,4.95,68.6,1.12,975.0,213.86,6231.0,4.276,1.356,0.28,1
2907,0.575884418,2.0734,272.2,31.17,2397.0,7790.32,6290.0,4.442,1.044,-0.16,0
2908,0.562555067,1.7402,198.3,1.21,2046.0,4128.4,5793.0,4.561,0.832,-0.26,0
2909,44.433726,6.118,239.6,1.85,538.0,19.73,5596.0,4.298,1.145,0.14,1
2910,0.993703494,0.7645,67.4,2.32,3257.0,26588.4,6854.0,3.808,2.715,-0.02,0
2911,6.33125228,2.688,306.6,1.31,822.0,108.04,5383.0,4.603,0.759,-0.22,1
2912,24.2204192,3.271,806.3,2.1,505.0,15.43,5165.0,4.599,0.761,0.02,1
2913,30.9597053,5.42,410.7,16.63,438.0,8.67,4947.0,4.621,0.714,-0.06,0
2914,6.41491277,3.3629,121.0,1.4,1069.0,309.12,5931.0,4.322,1.101,-0.24,1
2915,93.881556,20.644,188.7,2.02,479.0,12.42,5676.0,4.1,1.487,0.1,0
2916,3.91679553,2.072,161.3,0.85,851.0,123.73,4889.0,4.637,0.686,-0.22,1
2917,43.1024434,7.124,299.8,1.88,539.0,19.96,5741.0,4.365,1.097,0.18,1
2918,2.683395376,1.8592,234.7,2.55,1860.0,2833.83,6958.0,4.195,1.529,-0.22,0
2919,31.51779463,7.634,357.6,2.72,663.0,45.68,5611.0,4.144,1.4,0.16,1
2920,8.12999858,2.1492,148.0,2.04,1041.0,277.89,5611.0,4.144,1.4,0.16,1
2921,31.4452709,1.758,531.1,4.55,721.0,63.78,6172.0,4.198,1.471,0.16,1
2922,66.46746217,19.6638,12644.0,11.97,466.0,11.18,5843.0,4.403,1.073,0.18,0
2923,2.586639524,2.253,217.7,1.44,1328.0,735.48,5780.0,4.421,0.966,-0.2,1
2924,2.671942657,1.9119,15942.0,22.36,1458.0,1069.47,6116.0,4.335,1.055,-0.56,0
2925,28.51117639,4.5941,1844.6,3.27,423.0,7.55,4687.0,4.627,0.69,0.0,1
2926,14.38682567,2.1417,569.6,2.54,776.0,85.46,5725.0,4.353,1.072,0.0,1
2927,8.85686712,0.606,319.2,1.88,714.0,61.54,5017.0,4.516,0.797,-0.02,1
2928,12.99065074,2.3748,392.3,2.02,790.0,92.12,5787.0,4.402,1.027,0.0,1
2929,331.5972732,14.404,8322.1,10.89,294.0,1.76,5970.0,4.317,1.2,0.1,1
2930,11.20058855,4.562,219.9,1.7,808.0,100.91,6038.0,4.524,0.898,-0.28,1
2931,1.50179931,3.275,100.1,0.72,1229.0,540.71,5024.0,4.613,0.736,0.07,0
2932,17.83367834,4.5112,326.9,2.43,866.0,132.94,6407.0,4.268,1.337,0.0,1
2933,19.55662003,8.087,298.9,2.45,797.0,95.35,5671.0,4.094,1.36,-0.36,1
2934,82.6595174,3.48,1270.7,2.03,233.0,0.7,3952.0,4.716,0.553,-0.1,1
2935,2.03387483,3.097,73.6,1.6,1789.0,2422.92,5282.0,3.913,1.899,0.16,1
2936,5.07538255,1.7,163.1,1.74,1154.0,419.23,5933.0,4.334,1.118,-0.1,0
2937,23.9553986,3.204,228.7,2.84,741.0,71.16,5011.0,3.903,1.781,0.07,1
2938,24.3367026,2.539,551.1,1.95,526.0,18.07,5141.0,4.505,0.806,-0.12,1
2939,7.40985182,1.131,201.1,1.18,818.0,105.91,5462.0,4.56,0.836,0.04,1
2940,1.02425556,2.6439,1631.7,29.83,1503.0,1211.99,5337.0,4.594,0.764,-0.18,0
2941,4.63958598,2.768,83.4,1.52,1587.0,1496.31,6591.0,4.024,1.646,-0.66,0
2942,15.5943758,7.367,95.4,1.08,801.0,97.35,6249.0,4.428,1.076,-0.04,1
2943,34.4359387,5.82,424.5,2.78,652.0,42.68,5929.0,4.243,1.363,0.3,1
2944,5.317440164,2.9331,292.5,1.94,1105.0,351.52,5923.0,4.377,1.054,-0.14,1
2945,10.10575764,2.0138,116.8,1.28,892.0,149.4,5923.0,4.377,1.054,-0.14,1
2946,28.86236571,5.4033,449.2,2.53,623.0,35.56,5725.0,4.326,1.088,-0.08,1
2947,210.6013843,11.9922,4159.3,7.7,342.0,3.22,5970.0,4.317,1.2,0.1,1
2948,75.731195,4.859,2496.0,3.47,237.0,0.74,3891.0,4.718,0.564,0.21,1
2949,59.7371443,8.0006,566.4,2.84,520.0,17.26,5970.0,4.317,1.2,0.1,1
2950,3.388887193,2.4475,11268.0,10.72,1212.0,511.3,5780.0,4.438,1.0,0.0,0
2951,27.08239734,5.0119,423.2,3.25,703.0,57.77,5857.0,4.204,1.305,-0.04,1
2952,152.1060435,7.4517,3688.3,11.58,458.0,10.36,6200.0,4.072,1.64,-0.06,1
2953,30.6528935,4.99,269.7,2.86,780.0,87.69,6200.0,4.072,1.64,-0.06,1
2954,0.512869432,4.015,2313.0,31.12,2185.0,5384.53,5853.0,4.529,0.895,-0.1,0
2955,5.19492747,3.167,272.9,2.03,1238.0,554.37,6415.0,4.374,1.224,0.21,1
2956,15.9314412,2.435,556.7,1.77,596.0,29.83,5380.0,4.616,0.721,-0.4,1
2957,1.33251589,4.216,140.5,1.3,1747.0,2207.85,5701.0,4.291,1.068,-0.34,0
2958,28.227413,5.782,1113.4,2.82,565.0,24.03,5858.0,4.553,0.849,-0.26,1
2959,0.545544979,1.954,92.6,0.93,2240.0,5913.74,6050.0,4.509,0.92,-0.24,0
