toi,tid,tfopwg_disp,ra,dec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,gaia_id,SOURCE_ID,phot_g_mean_mag,mh_gspphot,teff_gspphot,logg_gspphot,azero_gspphot,ebpminrp_gspphot,ag_gspphot,mg_gspphot,libname_gspphot,alphafe_gspspec,mh_gspspec,fem_gspspec,flags_gspspec,radius_flame,lum_flame,mass_flame,age_flame,r_med_geo,r_lo_geo,r_hi_geo,calibrated_gspphot,calibrated gspspec,metallicity,source_of_met,Prediction,multi_pl,spectral_type
1064.02,TIC 79748331,CP,296.003935,-47.56203,3831.490131999832,12.2265595,2.1904379,1206.3693293,2.6014766,25.8970378,575.3502049,4803.0,4.52079,0.737189,6683371847364921088,6.683371847364921e+18,10.644562,0.1953,4608.6196,4.5747,0.0008,0.0003,0.0006,6.4735,MARCS,0.03,-0.08,-0.01,00000000000001199999900019900999999999999,0.75387657,0.23099457,0.7308605,,68.525894,68.444855,68.60884,0.1388349176912352,-0.08,-0.09,f_spec,1,1,K
1067.01,TIC 201642601,KP,288.672005,-59.57935,3823.987873999868,3.1316735,2.4579197,14915.6943722,9.4995191,148.6544991,890.5622134,4351.0,4.438,0.76701,6638412919991750912,6.638412919991751e+18,13.88092,0.7515,4607.9365,4.5871,0.3322,0.1309,0.2514,6.4746,MARCS,,,,,0.7470977,0.22674358,,,268.6259,267.52667,269.5689,0.379749863200392,,0.379749863200392,cal_phot,1,0,K
1069.01,TIC 31858843,KP,289.479212,-32.860124,5314.37876399979,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,5703.0,4.25824,1.22,6756148659453907200,6.756148659453907e+18,10.901385,0.1187,5619.2935,4.2296,0.1156,0.051,0.0959,4.3141,MARCS,-0.03,0.44,,00000010000009999999999999999999999999999,1.234682,1.3719356,0.92893547,13.191932,198.41579,197.61758,199.30382,0.401755706488585,0.44,0.4588992083769747,a_spec,0,0,G
107.01,TIC 92352620,KP,313.783239,-34.135751,5343.993333999999,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,6153.0,4.18077,1.71,6780546169634170496,6.780546169634171e+18,10.03342,0.1965,6077.9014,4.1197,0.0538,0.0245,0.0458,3.4132,MARCS,0.1,0.27,-0.16,00000000000009999001000999900991199999999,1.5988214,3.139491,1.2318325,4.136429,209.21913,207.92836,210.40988,0.3049436558682933,0.27,0.11,f_spec,0,0,F
1073.01,TIC 158297421,CP,287.484402,-49.664942,4203.472812000196,3.9228016,1.8736007,31510.9004906,13.3368705,91.167589,788.0973496,4444.0,4.438,0.6983,6658373007402886400,6.658373007402886e+18,14.387762,0.4682,4550.635,4.6411,0.3479,0.1375,0.2629,6.7206,MARCS,,,,,0.69250095,0.18551831,0.7269068,6.629937,301.69214,299.56052,303.81598,0.1787279692627049,,0.1787279692627049,cal_phot,1,0,K
1074.01,TIC 327301957,PC,310.761004,-72.010267,3829.652685000096,13.9428705,3.7522756,1015.395543,2.4233421,28.0927293,587.1759148,5206.0,4.63095,0.741671,6373601591750055424,6.373601591750056e+18,11.201126,-0.089,4996.7056,4.5575,0.0734,0.031,0.0586,6.0025,MARCS,0.14,-0.22,-0.03,00000000000009999999900019900999999999999,0.7581562,0.32332203,0.8301993,2.6214187,107.40561,107.25859,107.55037,-0.0037807452374581,-0.22,-0.25,f_spec,1,0,G
1075.01,TIC 351601843,CP,309.971209,-65.449699,3821.2495030001737,0.6047392,1.0403847,1027.6833479,1.8625587,528.0253155,1222.5973095,4046.0,4.60963,0.580337,6426188308031756288,6.426188308031756e+18,12.044743,0.0026,4062.0195,4.6749,0.4853,0.1897,0.3484,7.7516,MARCS,0.1,-0.44,0.01,00000011000009999999900999900999999999999,0.6076565,0.09054034,,,61.42478,61.38587,61.470367,-0.6125794644373725,-0.44,-0.43,f_spec,1,0,K
1076.01,TIC 360742636,KP,294.633694,-55.330269,3821.163257000037,2.5495611,2.6173308,14921.4021936,12.9171288,757.1284067,1337.8645148,5659.0,4.44653,1.03997,6640975950310072960,6.640975950310073e+18,11.712018,0.3235,5673.8506,4.4348,0.0798,0.0351,0.0663,4.6617,MARCS,-0.03,0.46,,00000010000009999999900999999999999999999,1.034407,0.99810565,0.946761,8.668336,251.00941,250.07967,252.05524,0.5818159275000369,0.46,0.4788992083769747,a_spec,1,0,G
1077.01,TIC 369960846,PC,173.810798,-88.096213,3821.1027390002273,1.6062693,1.9561305,16725.3019333,12.6436029,844.2700581,1374.8018137,5192.0,4.4617,0.984326,5188725633541065600,5.188725633541066e+18,14.093737,0.3327,4906.7344,4.4482,0.296,0.1215,0.232,5.5134,MARCS,,,,,0.93982166,0.49083596,,,454.37198,451.99158,457.0624,0.3899303852830201,,0.3899303852830201,cal_phot,1,0,K
1078.01,TIC 370133522,CP,306.928646,-56.462287,3821.103320000228,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.3295979,3325.0,4.88693,0.390989,6468968316900356736,6.468968316900357e+18,11.235408,-0.5706,3319.106,4.4919,0.0019,0.0008,0.0013,9.6538,PHOENIX,0.3,-1.06,,00100101000009999999999999999999999999999,0.45054442,0.022187265,,,20.378843,20.36873,20.389452,-2.81804244850026,-1.06,-1.2735117424276812,a_spec,1,0,M
108.01,TIC 289793076,KP,316.96148,-26.09672,3495.0838299999014,3.0440541,2.5984575,22236.0165376,12.1086799,315.9871326,1075.3184542,5523.0,4.52192,0.809868,6803000980210856704,6.803000980210857e+18,13.668406,-0.4551,5192.2876,4.4798,0.0007,0.0003,0.0005,5.5242,PHOENIX,,,,,0.8706133,0.49701056,0.8199517,13.261256,430.8033,426.6777,435.01868,-0.041796496169977,,-0.041796496169977,cal_phot,0,0,G
1082.01,TIC 261108236,PC,83.275809,-80.815478,3793.08569600014,16.3469053,3.5865698,2212.4257252,3.5059571,8.9995944,441.7489067,4310.0,4.57345,0.649613,4621526273835900288,4.6215262738359e+18,12.6955385,,,,,,,,,0.23,-0.28,,01101001000009999999999999999999999999999,,,,,99.7101,99.596954,99.83652,,-0.28,-0.4400119218817894,a_spec,1,0,K
1083.01,TIC 322270620,PC,296.822194,-87.32281,3794.915974000003,12.9802953,2.5034417,2407.2608671,2.4241912,4.7341229,376.2093904,3614.0,4.81257,0.491323,6342406969401289088,6.342406969401289e+18,13.208521,0.0509,3642.957,4.6739,0.4834,0.1982,0.3257,8.6758,MARCS,0.2,-0.39,,00001211000009999999999999999999999999999,0.56201994,0.049788155,,,68.59819,68.55156,68.6493,-0.8364323023596072,-0.39,-0.5277217312410312,a_spec,1,0,M
1084.01,TIC 380589029,KP,268.890707,-61.7474,3820.973304999992,1.3484961,2.4074261,18463.7636682,15.8824638,2706.9606225,1839.6713042,6346.0,4.38484,1.14759,5911182735242698496,5.911182735242699e+18,12.6769085,,,,,,,,,0.11,-0.16,,00000020000009999999999999999999999999999,,,,,516.8748,513.48254,521.3708,,-0.16,-0.2333161995554581,a_spec,0,0,F
109.01,TIC 29344935,KP,313.215475,-25.687376,3493.127479000017,2.76676,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,5346.0,4.48823,0.984866,6805149288493408640,6.805149288493408e+18,13.760739,-0.074,5228.21,4.4305,0.0033,0.0014,0.0027,5.1831,PHOENIX,,,,,0.95732456,0.6163548,,,503.85458,499.09854,509.68295,0.3970613061482749,,0.3970613061482749,cal_phot,1,0,G
1097.01,TIC 360630575,CP,189.775859,-74.57402,4543.410517999902,9.188506,2.492,460.0,2.16591,63.4589,786.0,5876.0,4.48,0.98,5838450865699668736,5.838450865699669e+18,9.144801,-0.2701,5777.2876,4.347,0.0009,0.0004,0.0008,4.6312,MARCS,0.23,-0.21,,00100001000009999999999999999999999999999,1.0120819,1.0284648,0.9980403,5.0708246,79.4864,79.40726,79.56341,-0.0253827843073716,-0.21,-0.3700119218817894,a_spec,1,1,G
1097.02,TIC 360630575,CP,189.775859,-74.57402,4511.461827000137,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,5876.0,4.48,0.983215,5838450865699668736,5.838450865699669e+18,9.144801,-0.2701,5777.2876,4.347,0.0009,0.0004,0.0008,4.6312,MARCS,0.23,-0.21,,00100001000009999999999999999999999999999,1.0120819,1.0284648,0.9980403,5.0708246,79.4864,79.40726,79.56341,-0.0253827843073716,-0.21,-0.3700119218817894,a_spec,1,1,G
1098.01,TIC 383390264,CP,192.589285,-88.121111,3796.909082000144,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,6153.0,4.34814,1.14582,5765748511163751936,5.765748511163752e+18,9.122133,-0.2027,6176.828,4.3036,0.0008,0.0004,0.0007,4.0093,MARCS,0.38,-0.38,,21200001000009999999999999999999999999999,1.1746475,1.8100599,1.1485534,2.3168323,105.03082,104.88712,105.1783,-0.0575401765911936,-0.38,-0.6570256536948165,a_spec,1,0,F
