toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
5185.01,TIC 462808933,PC,277.589668,16.908527,4.2788309,4.399,7750.0,17.4175,1098.85,1603.0,6353.0,3.94,1.98,,
5186.01,TIC 68453985,PC,291.589776,17.06358,2.503254,2.828,9960.0,17.5644,3356.68,2120.0,8076.0,4.25,1.73,Gaia DR3 2890062263458259968,
5187.01,TIC 441590110,PC,113.27293,77.577697,17.8597459,4.862,2180.0,6.12838,80.0325,833.0,6263.0,4.3,1.3,Gaia DR3 3342228616422593664,
5188.01,TIC 141677268,PC,111.926404,83.647091,22.43341,6.077,940.0,6.9652,46.3189,726.0,5395.0,3.7,2.25,Gaia DR3 3330907293088717824,
5189.01,TIC 408549705,FP,94.084217,87.317511,9.5064017,3.258,8710.0,14.3253,287.739,1147.0,5999.0,4.41,1.09,Gaia DR3 2998927486704012416,
519.01,TIC 218795833,CP,124.606758,-19.662792,1.2652338,1.2121003,110215.6795079,11.9244053,53.9865076,691.3390016,3225.0,5.00457,0.355309,Gaia DR3 6533307957785865856,0.15000000596046448
5190.01,TIC 289574465,PC,278.781977,36.615633,5.7488688,4.412,5080.0,12.6677,786.234,1475.0,6728.0,4.12,1.73,Gaia DR3 6533307957785865856,0.23000000417232513
5191.01,TIC 359469754,PC,291.567585,18.995258,3.0278609,3.669,6680.0,15.5158,4163.14,2237.0,8032.0,4.17,1.9,Gaia DR3 6533307957785865856,
5192.01,TIC 336125492,PC,281.06595,38.007341,4.7271324,4.672,8600.0,16.0689,868.672,1512.0,6121.7,4.02,1.74,Gaia DR3 6533307957785865856,
5193.01,TIC 336126253,PC,281.074106,37.366161,18.9972068,3.906,2960.0,4.7954,28.2737,642.0,5469.0,4.53,0.88,Gaia DR3 6533307957785865856,0.19599999487400055
5194.01,TIC 288612903,PC,275.085296,40.332613,7.0485133,3.543,4950.0,9.80458,202.23,1050.0,5889.0,4.2,1.37,Gaia DR3 6533307957785865856,
5195.01,TIC 357145112,PC,290.124851,23.819189,3.1523405,3.111,6440.0,12.6359,895.126,1523.0,6124.0,4.13,1.54,Gaia DR3 6533307957785865856,0.17000000178813934
5196.01,TIC 383828887,PC,284.160862,33.279514,2.5677096,2.882,10430.0,12.6572,917.773,1533.0,5854.0,4.28,1.24,Gaia DR3 6533307957785865856,0.10999999940395355
