solver,C,max_iter,tol,cv_score
liblinear,1000.0,100,0.001,0.7868409435323664
liblinear,1000.0,100,0.01,0.7839796298803796
liblinear,1000.0,200,0.0001,0.7869771833143828
liblinear,1000.0,200,0.001,0.7868409435323664
liblinear,1000.0,200,0.01,0.7839796298803796
saga,0.001,50,0.0001,0.7452987537166843
saga,0.001,50,0.001,0.7451625139346679
saga,0.001,50,0.01,0.7442091136901969
saga,0.001,100,0.0001,0.7452987537166843
saga,0.001,100,0.001,0.7451625139346679
saga,0.001,100,0.01,0.7442091136901969
saga,0.001,200,0.0001,0.7452987537166843
saga,0.001,200,0.001,0.7451625139346679
saga,0.001,200,0.01,0.7442091136901969
saga,0.01,50,0.0001,0.7623231618758614
saga,0.01,50,0.001,0.7623231618758614
saga,0.01,50,0.01,0.7593265358740028
saga,0.01,100,0.0001,0.7625954559534652
saga,0.01,100,0.001,0.7624593089146633
saga,0.01,100,0.01,0.7593265358740028
saga,0.01,200,0.0001,0.7625954559534652
saga,0.01,200,0.001,0.7624593089146633
saga,0.01,200,0.01,0.7593265358740028
saga,0.1,50,0.0001,0.7707677097805139
saga,0.1,50,0.001,0.7707677097805139
saga,0.1,50,0.01,0.7689970563303736
saga,0.1,100,0.0001,0.7737638720663004
saga,0.1,100,0.001,0.7737638720663004
saga,0.1,100,0.01,0.7689970563303736
saga,0.1,200,0.0001,0.7762155389400934
saga,0.1,200,0.001,0.7762155389400934
saga,0.1,200,0.01,0.7689970563303736
saga,1.0,50,0.0001,0.7707672460644417
saga,1.0,50,0.001,0.7707672460644417
saga,1.0,50,0.01,0.769813938563185
saga,1.0,100,0.0001,0.7759432448624897
saga,1.0,100,0.001,0.7759432448624897
saga,1.0,100,0.01,0.769813938563185
saga,1.0,200,0.0001,0.7788037238255463
saga,1.0,200,0.001,0.7788037238255463
saga,1.0,200,0.01,0.769813938563185
saga,10.0,50,0.0001,0.77103963288526
saga,10.0,50,0.001,0.77103963288526
saga,10.0,50,0.01,0.7699501783452013
saga,10.0,100,0.0001,0.7763518714653243
saga,10.0,100,0.001,0.7763518714653243
saga,10.0,100,0.01,0.7699501783452013
saga,10.0,200,0.0001,0.7800295108908356
saga,10.0,200,0.001,0.7800295108908356
saga,10.0,200,0.01,0.7699501783452013
saga,100.0,50,0.0001,0.77103963288526
saga,100.0,50,0.001,0.77103963288526
saga,100.0,50,0.01,0.7699501783452013
saga,100.0,100,0.0001,0.7763518714653243
saga,100.0,100,0.001,0.7763518714653243
saga,100.0,100,0.01,0.7699501783452013
saga,100.0,200,0.0001,0.7800295108908356
saga,100.0,200,0.001,0.7800295108908356
saga,100.0,200,0.01,0.7699501783452013
saga,1000.0,50,0.0001,0.77103963288526
saga,1000.0,50,0.001,0.77103963288526
saga,1000.0,50,0.01,0.7699501783452013
saga,1000.0,100,0.0001,0.7763518714653243
saga,1000.0,100,0.001,0.7763518714653243
saga,1000.0,100,0.01,0.7699501783452013
saga,1000.0,200,0.0001,0.7800295108908356
saga,1000.0,200,0.001,0.7800295108908356
saga,1000.0,200,0.01,0.7699501783452013
